0 20 698 74 989 23 308 100 299 57 797 93 273 7 191 27 748 85 595 42 152 95 778 86 549 90 356 64 961 99 596 98 356 67 231 89 966 29 344 87 64 84 999
1 20 699 100 249 97 798 98 752 31 722 99 941 46 659 93 455 33 215 89 776 95 310 43 468 57 357 87 984 58 478 73 615 47 960 92 648 64 79 28 76 68 71
2 20 596 41 570 39 810 16 269 96 655 93 633 30 114 90 2 32 803 97 195 94 6 79 256 15 253 51 78 19 350 99 252 78 374 70 627 54 217 8 506 91 371
3 20 702 73 470 92 554 51 691 93 289 99 997 16 207 77 184 83 972 31 182 98 73 74 516 20 627 91 836 32 76 78 622 86 799 87 644 53 479 95 755 76 492
4 20 663 98 478 91 96 93 33 15 225 90 422 80 25 38 595 97 452 8 194 12 294 86 821 51 898 96 714 46 89 99 689 87 553 71 940 20 391 81 60 68 614
5 20 736 39 709 95 752 94 478 85 573 63 30 84 417 69 963 98 200 12 295 99 740 92 430 90 185 80 973 79 920 58 563 91 183 49 559 88 530 43 896 65 936
6 20 764 91 961 19 58 86 570 95 739 60 641 98 936 37 556 97 9 32 983 45 118 73 865 94 832 99 198 96 397 93 725 77 688 84 84 90 747 85 726 78 539
7 20 608 42 161 99 897 9 869 97 522 78 5 18 558 8 926 43 485 98 184 20 746 68 26 26 794 90 208 89 985 88 538 31 368 79 323 93 350 87 656 53 657
8 20 768 66 920 82 112 88 581 90 718 91 833 31 470 97 847 96 453 83 70 92 62 72 810 99 843 98 357 85 426 81 527 94 359 12 391 57 99 95 759 28 870
9 20 731 25 409 96 118 78 202 97 288 86 332 95 275 81 265 98 519 56 654 68 109 51 350 75 155 99 634 60 156 28 359 61 517 64 824 71 5 88 582 85 429
10 20 729 43 873 73 839 77 129 98 240 68 721 96 402 65 585 38 8 67 693 86 295 95 984 93 53 85 975 22 513 79 655 88 485 99 502 36 665 64 282 87 562
11 20 760 60 353 99 625 63 425 74 380 96 609 95 617 55 607 65 908 61 72 84 306 90 284 92 518 98 194 28 584 86 383 71 572 93 408 89 741 87 732 35 868
12 20 727 95 426 91 571 64 786 11 850 99 985 77 649 41 924 90 847 87 59 93 118 97 242 53 134 39 462 98 52 12 479 89 656 94 566 96 469 69 830 59 496
13 20 712 45 678 32 206 49 192 53 525 99 752 86 296 97 439 95 84 8 70 63 760 92 153 54 541 90 273 88 874 67 944 85 600 91 54 96 14 70 736 65 301
14 20 704 75 5 12 832 74 68 98 291 86 326 41 168 97 17 99 212 68 171 62 779 51 745 88 918 54 136 66 449 65 458 45 475 94 740 48 211 90 514 95 316
15 20 781 37 458 98 32 99 158 95 714 88 881 55 147 80 168 97 406 73 109 94 938 86 409 81 293 72 167 64 49 82 80 70 143 96 344 34 90 93 81 68 99
16 20 713 89 682 37 264 68 1 51 825 99 534 95 606 91 710 96 496 98 856 23 572 39 470 18 511 63 23 60 487 62 816 97 638 94 169 83 201 74 283 90 826
17 20 653 87 681 97 790 99 690 43 843 86 496 35 289 98 760 37 590 60 99 88 978 22 980 61 428 70 188 65 15 44 891 91 97 63 456 5 625 67 962 89 262
18 20 723 98 571 87 355 96 341 99 587 25 691 33 865 91 417 97 617 92 565 94 471 21 561 95 503 79 535 89 851 72 531 83 920 37 990 74 986 6 783 78 661
19 20 685 83 826 90 957 77 187 68 552 92 846 99 382 89 449 60 720 98 310 69 941 96 709 32 197 17 938 67 443 31 351 66 898 95 201 13 854 46 757 82 559
20 20 784 96 55 83 268 97 437 95 960 88 99 77 43 2 77 55 128 92 735 93 205 99 193 72 811 49 166 53 403 98 820 91 756 94 586 89 413 81 600 64 78
21 20 681 19 838 85 219 30 584 17 834 86 878 57 10 62 550 87 706 99 598 72 393 94 525 95 277 76 767 49 872 44 780 75 346 78 174 98 914 51 764 89 593
22 20 715 39 200 25 258 99 431 49 282 96 840 98 227 1 309 94 692 37 913 92 691 89 677 60 560 87 979 97 117 93 330 69 43 41 331 90 765 95 409 80 240
23 20 692 14 708 97 943 85 411 45 248 72 81 47 436 90 294 24 91 62 462 63 795 95 287 88 852 68 791 79 12 22 701 91 303 98 285 87 479 80 619 77 441
24 20 681 67 953 89 843 81 712 28 605 80 585 87 614 95 944 51 569 99 907 75 26 74 217 44 756 93 770 23 608 98 687 30 177 48 970 27 227 77 446 96 458
25 20 757 48 738 95 933 97 537 77 903 94 752 98 322 99 984 82 159 5 866 89 143 46 385 92 601 96 19 69 913 78 972 81 262 74 369 44 767 62 52 88 600
26 20 677 92 344 95 345 80 9 55 345 88 207 61 199 96 59 99 16 26 653 98 227 87 906 68 548 90 314 36 475 12 948 94 379 14 246 93 680 42 618 29 163
